[2024/10/30 15:55:43] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:07:44] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:29:56] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:32:48] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:32:48] ppsci MESSAGE: Finish loading pretrained model from: outputs_fourcastnet_pretrain/checkpoints/latest.pdparams
[2024/10/30 16:32:48] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/10/30 16:32:48] ppsci INFO: Set to_static=False for computational optimization.
[2024/10/30 16:36:42] ppsci INFO: [Train][Epoch  1/20][Iter  410/4080] lr: 0.00010, loss: 0.09507, Sup: 0.09507, batch_cost: 0.56439s, reader_cost: 0.00022s, ips: 1.77, eta: 12:43:43
[2024/10/30 16:36:48] ppsci INFO: [Train][Epoch  1/20][Iter  420/4080] lr: 0.00010, loss: 0.09512, Sup: 0.09512, batch_cost: 0.56436s, reader_cost: 0.00022s, ips: 1.77, eta: 12:43:34
[2024/10/30 16:36:53] ppsci INFO: [Train][Epoch  1/20][Iter  430/4080] lr: 0.00010, loss: 0.09523, Sup: 0.09523, batch_cost: 0.56433s, reader_cost: 0.00022s, ips: 1.77, eta: 12:43:26
[2024/10/30 16:36:59] ppsci INFO: [Train][Epoch  1/20][Iter  440/4080] lr: 0.00010, loss: 0.09538, Sup: 0.09538, batch_cost: 0.56430s, reader_cost: 0.00022s, ips: 1.77, eta: 12:43:18
[2024/10/30 16:37:05] ppsci INFO: [Train][Epoch  1/20][Iter  450/4080] lr: 0.00010, loss: 0.09540, Sup: 0.09540, batch_cost: 0.56429s, reader_cost: 0.00022s, ips: 1.77, eta: 12:43:11
[2024/10/30 16:37:10] ppsci INFO: [Train][Epoch  1/20][Iter  460/4080] lr: 0.00010, loss: 0.09516, Sup: 0.09516, batch_cost: 0.56425s, reader_cost: 0.00022s, ips: 1.77, eta: 12:43:02
[2024/10/30 16:37:16] ppsci INFO: [Train][Epoch  1/20][Iter  470/4080] lr: 0.00010, loss: 0.09515, Sup: 0.09515, batch_cost: 0.56420s, reader_cost: 0.00022s, ips: 1.77, eta: 12:42:53
[2024/10/30 16:37:21] ppsci INFO: [Train][Epoch  1/20][Iter  480/4080] lr: 0.00010, loss: 0.09512, Sup: 0.09512, batch_cost: 0.56417s, reader_cost: 0.00022s, ips: 1.77, eta: 12:42:45
[2024/10/30 16:37:27] ppsci INFO: [Train][Epoch  1/20][Iter  490/4080] lr: 0.00010, loss: 0.09526, Sup: 0.09526, batch_cost: 0.56418s, reader_cost: 0.00022s, ips: 1.77, eta: 12:42:40
[2024/10/30 16:37:33] ppsci INFO: [Train][Epoch  1/20][Iter  500/4080] lr: 0.00010, loss: 0.09522, Sup: 0.09522, batch_cost: 0.56442s, reader_cost: 0.00022s, ips: 1.77, eta: 12:42:54
[2024/10/30 16:37:39] ppsci INFO: [Train][Epoch  1/20][Iter  510/4080] lr: 0.00010, loss: 0.09537, Sup: 0.09537, batch_cost: 0.56470s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:11
[2024/10/30 16:37:44] ppsci INFO: [Train][Epoch  1/20][Iter  520/4080] lr: 0.00010, loss: 0.09527, Sup: 0.09527, batch_cost: 0.56488s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:20
